#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	285199	285354	-	PGH39_01325		hypothetical protein	RefSeq:WP_167592934.1, SO:0001217, UniParc:UPI000770ACE8, UniRef:UniRef100_A0A822W6S1, UniRef:UniRef50_Q8RNQ2, UniRef:UniRef90_A0A1E5JNY8
contig_1	cds	285543	286070	+	PGH39_01330		DUF2231 domain-containing protein	COG:COG4244, COG:S, RefSeq:WP_061634635.1, SO:0001217, UniParc:UPI000770941A, UniRef:UniRef100_UPI000770941A, UniRef:UniRef50_A0A0W0XUD8, UniRef:UniRef90_A0A2S6FAD9
contig_1	cds	286097	289183	+	PGH39_01335	pcoB	copper oxidase	COG:COG3667, COG:P, RefSeq:WP_061634636.1, SO:0001217, UniParc:UPI000770A24D, UniRef:UniRef100_UPI000770A24D, UniRef:UniRef50_A0A0W0SCQ9, UniRef:UniRef90_A0A0W0XVG3
contig_1	cds	289420	289881	-	PGH39_01340		DUF4156 domain-containing protein	RefSeq:WP_015444656.1, SO:0001217, UniParc:UPI0002C0D960, UniRef:UniRef100_Q8RNQ4, UniRef:UniRef50_Q8RNQ4, UniRef:UniRef90_Q8RNQ4
contig_1	cds	290403	290720	-	PGH39_01345		VrrB	RefSeq:WP_027265439.1, SO:0001217, UniParc:UPI00048868DF, UniRef:UniRef100_A0A822W5M1, UniRef:UniRef50_A0A3A6VH19, UniRef:UniRef90_A0A2S6FAE0
contig_1	cds	290898	291194	+	PGH39_01350		DUF2933 domain-containing protein	RefSeq:WP_027265438.1, SO:0001217, UniParc:UPI0004861D6C, UniRef:UniRef100_A0A822W4V9, UniRef:UniRef50_G9EPR9, UniRef:UniRef90_A0A2S6FAD7
contig_1	cds	291200	291865	+	PGH39_01355	sTE14	isoprenylcysteine carboxyl methyltransferase	COG:COG2020, COG:O, EC:2.1.1.334, KEGG:K21310, RefSeq:WP_042755008.1, SO:0001217, UniParc:UPI0005B317B8, UniRef:UniRef100_A0A822W6I9, UniRef:UniRef50_A0A5Q2RMV7, UniRef:UniRef90_A0A140J342
contig_1	cds	291862	292362	+	PGH39_01360		hypothetical protein	RefSeq:WP_027265832.1, SO:0001217, UniParc:UPI0004833B50, UniRef:UniRef100_A0A822W3L3, UniRef:UniRef50_A0A0W0XUE2, UniRef:UniRef90_A0A128MGM2
contig_1	cds	292428	293249	-	PGH39_01365		Cytochrome c7 and related cytochrome c	RefSeq:WP_027265831.1, SO:0001217, UniParc:UPI000489928D, UniRef:UniRef100_A0A822W6X3, UniRef:UniRef50_A0A6I6AHA8, UniRef:UniRef90_A0A2S6FAA6
contig_1	cds	293246	294007	-	PGH39_01370		hypothetical protein	RefSeq:WP_061634638.1, SO:0001217, UniParc:UPI0007707699, UniRef:UniRef100_UPI0007707699, UniRef:UniRef50_A0A1X0Y8K9, UniRef:UniRef90_A0A0W0XV95
contig_1	cds	294007	295890	-	PGH39_01375	fpr	oxidoreductase	COG:C, COG:COG1018, RefSeq:WP_061634639.1, SO:0001217, UniParc:UPI000770A5E6, UniRef:UniRef100_UPI0009312D42, UniRef:UniRef50_A0A378K2P3, UniRef:UniRef90_A0A377GB89
contig_1	cds	296238	296612	+	PGH39_01380		hypothetical protein	RefSeq:WP_013101362.1, SO:0001217, UniParc:UPI00004450E5, UniRef:UniRef100_A0A2S6ENF4, UniRef:UniRef50_A0A0W0XUU4, UniRef:UniRef90_A0A2S6ENF4
contig_1	cds	296644	297513	-	PGH39_01385	atpG	ATPase	COG:C, COG:COG0224, RefSeq:WP_027265828.1, SO:0001217, UniParc:UPI0004855170, UniRef:UniRef100_A0A822W6F1, UniRef:UniRef50_A0A1S0VDK8, UniRef:UniRef90_A0A377GBF7
contig_1	cds	297571	299043	-	PGH39_01390	atpA1	F0F1 ATP synthase subunit alpha	COG:C, COG:COG0056, EC:7.1.2.2, GO:0005524, GO:0005886, GO:0045261, GO:0046933, GO:0046961, RefSeq:WP_010946783.1, SO:0001217, UniParc:UPI0000442439, UniRef:UniRef100_Q5X2Q3, UniRef:UniRef50_A5IFJ9, UniRef:UniRef90_A5IFJ9
contig_1	cds	299030	299773	-	PGH39_01395	atpF	ATP synthase delta (OSCP) subunit	COG:C, COG:COG0711, RefSeq:WP_061634640.1, SO:0001217, UniParc:UPI000770A57D, UniRef:UniRef100_UPI000770A57D, UniRef:UniRef50_A0A0W1AMR4, UniRef:UniRef90_A0A1S0VG86
contig_1	cds	299779	300054	-	PGH39_01400	atpE	F0F1 ATP synthase subunit C	RefSeq:WP_011946148.1, SO:0001217, UniParc:UPI00004450E2, UniRef:UniRef100_A0A131MHR6, UniRef:UniRef50_A3PS63, UniRef:UniRef90_A0A131MHR6
contig_1	cds	300051	300743	-	PGH39_01405	atpB	F0F1 ATP synthase subunit A	COG:C, COG:COG0356, GO:0005886, GO:0016021, GO:0045263, GO:0046933, KEGG:K02108, RefSeq:WP_011946149.1, SO:0001217, UniParc:UPI0001527AB2, UniRef:UniRef100_A5IFJ6, UniRef:UniRef50_Q5ZWN4, UniRef:UniRef90_Q5ZWN4
contig_1	cds	300746	301024	-	PGH39_01410		F0F1 ATP synthase subunit	RefSeq:WP_011946150.1, SO:0001217, UniParc:UPI00004450E0, UniRef:UniRef100_A0A1E5JNW7, UniRef:UniRef50_A1AMA8, UniRef:UniRef90_A0A0W0XUF2
contig_1	cds	301014	301424	-	PGH39_01415	atpC	ATP synthase epsilon chain	COG:C, COG:COG0355, RefSeq:WP_011946151.1, SO:0001217, UniParc:UPI0001527AB1, UniRef:UniRef100_A0A1E5JNY2, UniRef:UniRef50_A0A0W0S9D6, UniRef:UniRef90_A0A0W0XVH4
contig_1	cds	301433	302830	-	PGH39_01420	atpD	F0F1 ATP synthase subunit beta	COG:C, COG:COG0055, RefSeq:WP_228370638.1, SO:0001217, UniParc:UPI00073BFF3D, UniRef:UniRef100_A0A1E5JNW9, UniRef:UniRef50_A0A0C1RT63, UniRef:UniRef90_Q5ZWN1
contig_1	cds	303196	303645	-	PGH39_01425		type IV secretion protein Dot	RefSeq:WP_011946153.1, SO:0001217, UniParc:UPI0001527AAF, UniRef:UniRef100_A0A1E5JPF4, UniRef:UniRef50_A0A378PGW1, UniRef:UniRef90_A0A378PGW1
contig_1	cds	304343	306136	+	PGH39_01430	phaC	PHA synthase	COG:COG3243, COG:I, RefSeq:WP_011946155.1, SO:0001217, UniParc:UPI0001527AAD, UniRef:UniRef100_A0A1E5JNY5, UniRef:UniRef50_A0A377GLM0, UniRef:UniRef90_A0A378PGP7
contig_1	cds	306153	306896	-	PGH39_01435	phbB	beta-ketoacyl-ACP reductase	COG:COG1028, COG:I, RefSeq:WP_011946156.1, SO:0001217, UniParc:UPI0001527A20, UniRef:UniRef100_A0A1E5JNZ2, UniRef:UniRef50_A0A378PH22, UniRef:UniRef90_A0A378PH22
contig_1	cds	306968	307189	-	PGH39_01440	cspC	cold-shock protein	COG:COG1278, COG:K, KEGG:K03704, RefSeq:WP_011946157.1, SO:0001217, UniParc:UPI0001527A1F, UniRef:UniRef100_A0A2S6FAG5, UniRef:UniRef50_G9EP18, UniRef:UniRef90_A0A2S6FAG5
contig_1	cds	307283	307714	-	PGH39_01445		hypothetical protein	RefSeq:WP_011946158.1, SO:0001217, UniParc:UPI0001527A1E, UniRef:UniRef100_A0A2S6FAC7, UniRef:UniRef50_A0A0W0XVA4, UniRef:UniRef90_A0A0W0XVA4
contig_1	cds	307899	308927	+	PGH39_01450		sel1 repeat family protein	RefSeq:WP_010946797.1, SO:0001217, UniParc:UPI0000442447, UniRef:UniRef100_A0A129ZLU4, UniRef:UniRef50_A0A129ZLU4, UniRef:UniRef90_A0A129ZLU4
contig_1	cds	309309	310601	-	PGH39_01455		MFS transporter	RefSeq:WP_010946798.1, SO:0001217, UniParc:UPI0000442448, UniRef:UniRef100_A0A129UID4, UniRef:UniRef50_A0A0W0R5M5, UniRef:UniRef90_A0A129UID4
contig_1	cds	310606	311124	-	PGH39_01460	def	peptide deformylase	COG:COG0242, COG:J, RefSeq:WP_010946799.1, SO:0001217, UniParc:UPI0000442449, UniRef:UniRef100_A0A128M969, UniRef:UniRef50_A0A128M969, UniRef:UniRef90_A0A128M969
contig_1	cds	311108	311746	-	PGH39_01465		Flagellar biosynthesis protein FlgJ	SO:0001217, UniParc:UPI000044244A, UniRef:UniRef100_A0A129TDI6, UniRef:UniRef50_A0A098GDL1, UniRef:UniRef90_Q5WXN3
contig_1	cds	311709	312200	-	PGH39_01470		transcriptional regulator	RefSeq:WP_011946160.1, SO:0001217, UniParc:UPI0001527A1C, UniRef:UniRef100_A0A1E5JNX4, UniRef:UniRef50_A0A098GF29, UniRef:UniRef90_A0A0W1ALG7
contig_1	cds	312410	312667	+	PGH39_01475		hypothetical protein	RefSeq:WP_011946161.1, SO:0001217, UniParc:UPI0001527A1B, UniRef:UniRef100_A0A1E5JNV9, UniRef:UniRef50_A0A098GDP5, UniRef:UniRef90_A0A1E5JNV9
contig_1	cds	312679	312882	+	PGH39_01480	alpA	Prophage CP4-57 regulatory protein (AlpA)	COG:COG3311, COG:KX, RefSeq:WP_010946803.1, SO:0001217, UniParc:UPI000044244D, UniRef:UniRef100_A0A130ZEL6, UniRef:UniRef50_A0A098GC73, UniRef:UniRef90_A0A130ZEL6
contig_1	cds	312906	313874	-	PGH39_01485	abiF	ABC transporter permease	COG:COG4823, COG:V, SO:0001217, UniParc:UPI0001527A1A, UniRef:UniRef100_A0A1E5JNX3, UniRef:UniRef50_A0A0W0YC96, UniRef:UniRef90_A0A0W0YC96
contig_1	cds	313940	315121	-	PGH39_01490	fimB	integrase	COG:COG0582, COG:LX, RefSeq:WP_011946163.1, SO:0001217, UniParc:UPI0001527A19, UniRef:UniRef100_A0A1E5JNX9, UniRef:UniRef50_A0A378I5H2, UniRef:UniRef90_A0A129RND3
contig_1	cds	315456	317348	-	PGH39_01495		DNA recombination protein RmuC	RefSeq:WP_040148212.1, SO:0001217, UniParc:UPI00058D7885, UniRef:UniRef100_A0A4T1G103, UniRef:UniRef50_Q5WXK8, UniRef:UniRef90_Q5WXK8
contig_1	cds	318214	318600	+	PGH39_01500		hypothetical protein	RefSeq:WP_011215197.1, SO:0001217, UniParc:UPI0000445705, UniRef:UniRef100_A0A4T1EGL1, UniRef:UniRef50_A0A4T1EGL1, UniRef:UniRef90_A0A4T1EGL1
contig_1	cds	318615	318830	+	PGH39_01505		hypothetical protein	RefSeq:WP_040148211.1, SO:0001217, UniParc:UPI0002E0A43F, UniRef:UniRef100_A0A4V1ZI69, UniRef:UniRef50_A0A0W0SEU2, UniRef:UniRef90_A0A4V1ZI69
contig_1	cds	318974	319291	-	PGH39_01510		transcriptional regulator	RefSeq:WP_011215199.1, SO:0001217, UniParc:UPI0000445707, UniRef:UniRef100_A0A4Q5N8E4, UniRef:UniRef50_A0A1E5JUA8, UniRef:UniRef90_A0A4Q5N8E4
contig_1	cds	319573	319854	+	PGH39_01515		plasmid maintenance system killer	RefSeq:WP_011215200.1, SO:0001217, UniParc:UPI0000445708, UniRef:UniRef100_A0A4T1G6A2, UniRef:UniRef50_A0A1V5WEK5, UniRef:UniRef90_A0A0W0Z461
contig_1	cds	319867	320184	+	PGH39_01520		HigA family addiction module antitoxin	SO:0001217, UniRef:UniRef50_Q5WXK2, UniRef:UniRef90_Q5WXK2
contig_1	cds	320384	320659	+	PGH39_01525		hypothetical protein	RefSeq:WP_229295316.1, SO:0001217, UniParc:UPI00030B93E4, UniRef:UniRef100_UPI00030B93E4, UniRef:UniRef50_T0KBG0, UniRef:UniRef90_UPI00030B93E4
contig_1	cds	320686	321198	+	PGH39_01530		N-acetyltransferase	SO:0001217, UniRef:UniRef50_A0A822W6A5, UniRef:UniRef90_A0A822W6A5
contig_1	cds	321753	322421	+	PGH39_01535	ycjU	Beta-phosphoglucomutase, HAD superfamily	COG:COG0637, COG:G, RefSeq:WP_011215203.1, SO:0001217, UniParc:UPI000044570B, UniRef:UniRef100_A0A4T1EH74, UniRef:UniRef50_A0A378K4K5, UniRef:UniRef90_A0A140IXQ9
contig_1	cds	322574	322783	+	PGH39_01540		hypothetical protein	RefSeq:WP_229295315.1, SO:0001217, UniParc:UPI0001E3C97B, UniRef:UniRef100_A0A4T1EGU0, UniRef:UniRef50_A0A378KBZ4, UniRef:UniRef90_A0A4T1EGU0
contig_1	cds	322930	323388	+	PGH39_01545		hypothetical protein	RefSeq:WP_011215205.1, SO:0001217, UniParc:UPI000044570D, UniRef:UniRef100_A0A4Q5N8H7, UniRef:UniRef50_Q5WWF4, UniRef:UniRef90_A0A4Q5N8H7
contig_1	cds	323511	324113	+	PGH39_01550	exoD	sugar transporter	COG:COG3932, COG:M, RefSeq:WP_011215206.1, SO:0001217, UniParc:UPI000044570E, UniRef:UniRef100_A0A4T1EH42, UniRef:UniRef50_A0A127V1L6, UniRef:UniRef90_A0A127V1L6
contig_1	cds	324613	325581	+	PGH39_01555	lem4	Dot/Icm T4SS effector Lem4/SmdA	RefSeq:WP_038837948.1, SO:0001217, UniParc:UPI0001E3C97C, UniRef:UniRef100_A0A378KEZ6, UniRef:UniRef50_Q5WXJ6, UniRef:UniRef90_Q5WXJ6
contig_1	cds	325863	326726	-	PGH39_01560		hypothetical protein	RefSeq:WP_038837950.1, SO:0001217, UniParc:UPI0005768668, UniRef:UniRef100_A0A378KLR8, UniRef:UniRef50_Q5WXJ5, UniRef:UniRef90_Q5WXJ5
contig_1	cds	327031	328242	+	PGH39_01565		Alpha/beta hydrolase	RefSeq:WP_038837953.1, SO:0001217, UniParc:UPI000576AC0F, UniRef:UniRef100_A0A378KGM7, UniRef:UniRef50_D3HM96, UniRef:UniRef90_A0A140IXQ2
contig_1	cds	328286	329278	-	PGH39_01570		Phosphotransferase enzyme family	RefSeq:WP_038837955.1, SO:0001217, UniParc:UPI0001E3C97F, UniRef:UniRef100_A0A4T1EGM3, UniRef:UniRef50_A0A098G718, UniRef:UniRef90_Q5WXJ4
contig_1	cds	329478	329981	+	PGH39_01575	msrB	peptide-methionine (R)-S-oxide reductase	COG:COG0229, COG:O, RefSeq:WP_038837958.1, SO:0001217, UniParc:UPI0001E3C980, UniRef:UniRef100_A0A4Q5N8G5, UniRef:UniRef50_A0A4P2VQT1, UniRef:UniRef90_A0A2S6F254
contig_1	cds	330076	331338	-	PGH39_01580		hypothetical protein	RefSeq:WP_038837960.1, SO:0001217, UniParc:UPI0001E3C981, UniRef:UniRef100_A0A4V4P6V3, UniRef:UniRef50_A0A0W0RC14, UniRef:UniRef90_Q5WXJ2
contig_1	cds	331667	332965	-	PGH39_01585		DUF2254 domain-containing protein	RefSeq:WP_038837963.1, SO:0001217, UniParc:UPI0001E3C982, UniRef:UniRef100_A0A4T1EH85, UniRef:UniRef50_Q5WXJ1, UniRef:UniRef90_Q5WXJ1
contig_1	cds	333160	333579	-	PGH39_01590	ribN	transporter	COG:COG2510, COG:H, RefSeq:WP_011215212.1, SO:0001217, UniParc:UPI0000445714, UniRef:UniRef100_A0A130CER2, UniRef:UniRef50_G9EN96, UniRef:UniRef90_A0A140IXP8
contig_1	cds	333766	334647	-	PGH39_01595	pldB	alpha/beta hydrolase	COG:COG2267, COG:I, RefSeq:WP_038837966.1, SO:0001217, UniParc:UPI0001E3C983, UniRef:UniRef100_A0A4T1EKQ4, UniRef:UniRef50_A0A1E5JU10, UniRef:UniRef90_A0A2S6F811
contig_1	cds	334886	336754	-	PGH39_01600		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A378K0G9, UniRef:UniRef90_A0A3A6UZU3
contig_1	cds	337234	337356	-	PGH39_01605		Multidrug-efflux system transmembrane protein	SO:0001217, UniRef:UniRef50_A0A130ZI83
contig_1	cds	337501	338196	+	PGH39_01610		hypothetical protein	RefSeq:WP_038837976.1, SO:0001217, UniParc:UPI0001E3C9F5, UniRef:UniRef100_A0A4T1EH50, UniRef:UniRef50_Q5WXI3, UniRef:UniRef90_Q5WXI3
contig_1	cds	338290	338928	-	PGH39_01615	ravN	Dot/Icm T4SS effector RavN	RefSeq:WP_038837978.1, SO:0001217, UniParc:UPI0001E3C9F6, UniRef:UniRef100_A0A4T1G119, UniRef:UniRef50_A0A127V1M3, UniRef:UniRef90_Q5WXI2
contig_1	cds	339209	339592	-	PGH39_01620		hypothetical protein	RefSeq:WP_027265804.1, SO:0001217, UniParc:UPI0001E3C9F7, UniRef:UniRef100_A0A378KDH2, UniRef:UniRef50_A0A2H5FMJ3, UniRef:UniRef90_Q5WXI1
contig_1	cds	339693	339884	+	PGH39_01625		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A822W6X5, UniRef:UniRef90_A0A822W6X5
contig_1	cds	339808	340518	-	PGH39_01630		hypothetical protein	RefSeq:WP_038837981.1, SO:0001217, UniParc:UPI0001E3C9F8, UniRef:UniRef100_A0A4T1EHD4, UniRef:UniRef50_A0A0W0VVQ7, UniRef:UniRef90_A0A4T1EHD4
contig_1	cds	340598	342997	-	PGH39_01635		Bacteriophytochrome cph2	RefSeq:WP_038837983.1, SO:0001217, UniParc:UPI000576B842, UniRef:UniRef100_A0A4Q5N8H3, UniRef:UniRef50_A0A378K6Q6, UniRef:UniRef90_A0A822VZ78
contig_1	cds	343006	343278	-	PGH39_01640		circadian clock protein KaiB	RefSeq:WP_011213471.1, SO:0001217, UniParc:UPI0000444C94, UniRef:UniRef100_A0A128UI74, UniRef:UniRef50_A0A128UI74, UniRef:UniRef90_A0A128UI74
contig_1	cds	343283	344935	-	PGH39_01645	kaiC	circadian clock protein KaiC	COG:COG0467, COG:T, RefSeq:WP_229295313.1, SO:0001217, UniParc:UPI0007709685, UniRef:UniRef100_UPI0007709685, UniRef:UniRef50_A0A378JJQ0, UniRef:UniRef90_A0A822W4M1
contig_1	cds	345355	347703	+	PGH39_01650	chi1	GH18 domain-containing protein	COG:COG3469, COG:G, RefSeq:WP_038837988.1, SO:0001217, UniParc:UPI0002E052E1, UniRef:UniRef100_A0A4T1EH95, UniRef:UniRef50_Q5WXH7, UniRef:UniRef90_Q5WXH7
contig_1	cds	347813	348286	-	PGH39_01655	yidJ	N-acetyltransferase	COG:COG2388, COG:R, RefSeq:WP_027220996.1, SO:0001217, UniParc:UPI0001E3C9FB, UniRef:UniRef100_A0A2S8CC69, UniRef:UniRef50_Q5WXH6, UniRef:UniRef90_Q5WXH6
contig_1	cds	348378	349493	-	PGH39_01660	ampC	D-alanyl-D-alanine carboxypeptidase	COG:COG1680, COG:V, RefSeq:WP_038837991.1, SO:0001217, UniParc:UPI0001E3C9FC, UniRef:UniRef100_A0A4T1EKR8, UniRef:UniRef50_A0A0W0SM66, UniRef:UniRef90_Q5WXH5
contig_1	cds	349761	350819	+	PGH39_01665		acid phosphatase	RefSeq:WP_027265797.1, SO:0001217, UniParc:UPI00000B2A9F, UniRef:UniRef100_Q9APF7, UniRef:UniRef50_D3HR41, UniRef:UniRef90_A0A378K7W3
contig_1	cds	351148	352785	-	PGH39_01670		Thiol protease	RefSeq:WP_038837993.1, SO:0001217, UniParc:UPI0001E3C9FD, UniRef:UniRef100_A0A4T1G127, UniRef:UniRef50_A0A378IJZ4, UniRef:UniRef90_A0A2S6F840
contig_1	cds	353404	354138	+	PGH39_01675	ceg19	Dot/Icm T4SS effector Ceg19	SO:0001217, UniRef:UniRef50_Q5WXH2, UniRef:UniRef90_Q5WXH2
contig_1	cds	354335	354637	-	PGH39_01680		(pseudo) hypothetical protein	RefSeq:WP_223919100.1, SO:0001217, UniParc:UPI0001E3C9FF, UniRef:UniRef100_A0A8D6RC10, UniRef:UniRef50_A0A140J3C2, UniRef:UniRef50_A0A8D6RC10, UniRef:UniRef90_A0A3A6VQX8, UniRef:UniRef90_A0A8D6RC10
contig_1	cds	355000	356328	+	PGH39_01685	lysM	lytic transglycosylase	COG:COG1388, COG:M, RefSeq:WP_038837998.1, SO:0001217, UniParc:UPI0001E3CA01, UniRef:UniRef100_A0A4Q5NE70, UniRef:UniRef50_A0A378LRL8, UniRef:UniRef90_A0A378K6R5
contig_1	cds	356454	357215	-	PGH39_01690	hisJ	ABC transporter substrate-binding protein	COG:COG0834, COG:ET, RefSeq:WP_038838000.1, SO:0001217, UniParc:UPI0001E3CA02, UniRef:UniRef100_A0A4Q5NB65, UniRef:UniRef50_Q5WXH0, UniRef:UniRef90_Q5WXH0
contig_1	cds	357453	358043	-	PGH39_01695		lpg1124 family Dot/Icm T4SS effector	RefSeq:WP_010946858.1, SO:0001217, UniParc:UPI0000442484, UniRef:UniRef100_A0A2S6F824, UniRef:UniRef50_Q5WXG9, UniRef:UniRef90_Q5WXG9
contig_1	cds	358324	359019	+	PGH39_01700	hisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	COG:COG0834, COG:ET, RefSeq:WP_038838002.1, SO:0001217, UniParc:UPI0001E3CA04, UniRef:UniRef100_A0A4V4P6Y8, UniRef:UniRef50_A0A378K324, UniRef:UniRef90_A0A378K324
contig_1	cds	359331	362762	+	PGH39_01705	mgtA	Magnesium-transporting ATPase (P-type)	COG:COG0474, COG:P, RefSeq:WP_038838005.1, SO:0001217, UniParc:UPI0001E3CA05, UniRef:UniRef100_A0A4T1G7E3, UniRef:UniRef50_A0A3S0VQ05, UniRef:UniRef90_Q5WXG7
contig_1	cds	363023	364717	+	PGH39_01710		sodium:proton antiporter	RefSeq:WP_038838006.1, SO:0001217, UniParc:UPI0001E3CA06, UniRef:UniRef100_A0A4T1EGW3, UniRef:UniRef50_A0A7R9Q877, UniRef:UniRef90_Q5WXG6
contig_1	cds	364751	366259	-	PGH39_01715	menE,fadK	long-chain fatty acid--CoA ligase	COG:COG0318, COG:I, RefSeq:WP_038838009.1, SO:0001217, UniParc:UPI0001E3CA07, UniRef:UniRef100_A0A4T1EKT7, UniRef:UniRef50_A0A378K4R9, UniRef:UniRef90_A0A378K4R9
contig_1	cds	366341	366805	+	PGH39_01720	tadA	tRNA-specific adenosine deaminase	COG:COG0590, COG:J, RefSeq:WP_027265787.1, SO:0001217, UniParc:UPI0001E3CA08, UniRef:UniRef100_A0A378KCW0, UniRef:UniRef50_A0A0J6WD60, UniRef:UniRef90_A0A2S6EQR5
contig_1	cds	367233	368792	+	PGH39_01725	ravO	Dot/Icm T4SS effector RavO	RefSeq:WP_038838011.1, SO:0001217, UniParc:UPI0001E3CA09, UniRef:UniRef100_A0A4T1ELY4, UniRef:UniRef50_A0A3A6UGG7, UniRef:UniRef90_A0A3A6UGG7
contig_1	cds	368798	368920	+	PGH39_01730		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A822WDG9, UniRef:UniRef90_A0A822WDG9
contig_1	cds	368928	370067	-	PGH39_01735		hypothetical protein	RefSeq:WP_038838013.1, SO:0001217, UniParc:UPI0001E3CA0A, UniRef:UniRef100_A0A4V4PC87, UniRef:UniRef50_A0A4V4PC87, UniRef:UniRef90_A0A378K744
contig_1	cds	370249	371700	-	PGH39_01740	narQ	adenylate/guanylate cyclase domain-containing protein	COG:COG3850, COG:T, RefSeq:WP_038838017.1, SO:0001217, UniParc:UPI0001E3CA0B, UniRef:UniRef100_A0A4T1G1J0, UniRef:UniRef50_A0A378K7X8, UniRef:UniRef90_A0A378K7X8
contig_1	cds	371862	372188	-	PGH39_01745		hypothetical protein	RefSeq:WP_038838019.1, SO:0001217, UniParc:UPI0001E3CA0C, UniRef:UniRef100_A0A4T1G0W4, UniRef:UniRef50_A0A130VST1, UniRef:UniRef90_A0A130VST1
contig_1	cds	372353	373480	-	PGH39_01750	cfa	cyclopropane fatty acyl phospholipid synthase	COG:COG2230, COG:I, RefSeq:WP_038838022.1, SO:0001217, UniParc:UPI0001E3CA0D, UniRef:UniRef100_A0A4Q5NB59, UniRef:UniRef50_A0A377GNM5, UniRef:UniRef90_A0A378KC50
contig_1	cds	373534	373914	-	PGH39_01755		hypothetical protein	RefSeq:WP_027265781.1, SO:0001217, UniParc:UPI0001E3CA0E, UniRef:UniRef100_A0A4T1EU24, UniRef:UniRef50_A0A0W0YMH3, UniRef:UniRef90_A0A131HBC2
contig_1	cds	374049	375116	-	PGH39_01760	yrpB	nitronate monooxygenase	COG:COG2070, COG:R, RefSeq:WP_038838023.1, SO:0001217, UniParc:UPI0001E3CA0F, UniRef:UniRef100_A0A4T1EHB3, UniRef:UniRef50_Q5WXF8, UniRef:UniRef90_Q5WXF8
contig_1	cds	375094	375705	-	PGH39_01765	acrR	TetR/AcrR family transcriptional regulator	COG:COG1309, COG:K, RefSeq:WP_010946869.1, SO:0001217, UniParc:UPI000044248E, UniRef:UniRef100_A0A2S6F834, UniRef:UniRef50_A0A0W0YWB1, UniRef:UniRef90_Q5WXF7
contig_1	cds	375875	376777	+	PGH39_01770		DUF4349 domain-containing protein	RefSeq:WP_038838026.1, SO:0001217, UniParc:UPI0001E3CA10, UniRef:UniRef100_A0A4T1G301, UniRef:UniRef50_Q5WXF6, UniRef:UniRef90_Q5WXF6
contig_1	cds	376866	377087	-	PGH39_01775		hypothetical protein	SO:0001217, UniParc:UPI000770ADA3, UniRef:UniRef100_A0A8D6RE04, UniRef:UniRef50_Q5WXF5, UniRef:UniRef90_Q5WXF5
contig_1	cds	377312	378265	-	PGH39_01780		lpg1137 family Dot/Icm T4SS effector	EC:3.4.22.-, GO:0005576, GO:0006508, GO:0008236, GO:0016020, GO:0044191, RefSeq:WP_038838029.1, SO:0001217, UniParc:UPI0001E3CA12, UniRef:UniRef100_A0A4Q5NB54, UniRef:UniRef50_Q5ZWE8, UniRef:UniRef90_Q5ZWE8
contig_1	cds	378546	379568	-	PGH39_01785	potD	spermidine/putrescine ABC transporter substrate-binding protein	COG:COG0687, COG:E, RefSeq:WP_040148199.1, SO:0001217, UniParc:UPI000590F922, UniRef:UniRef100_A0A378KH24, UniRef:UniRef50_A0A0W0Y1R8, UniRef:UniRef90_Q5WXF3
contig_1	cds	379565	380332	-	PGH39_01790	potC	spermidine/putrescine ABC transporter permease PotC	COG:COG1177, COG:E, RefSeq:WP_038838031.1, SO:0001217, UniParc:UPI0001E3CA15, UniRef:UniRef100_A0A4T1EGQ9, UniRef:UniRef50_Q5WXF2, UniRef:UniRef90_Q5WXF2
contig_1	cds	380329	381153	-	PGH39_01795	potB	spermidine/putrescine ABC transporter permease	COG:COG1176, COG:E, RefSeq:WP_027265775.1, SO:0001217, UniParc:UPI0001E3CA9F, UniRef:UniRef100_A0A4Q5NE54, UniRef:UniRef50_A0A098GH82, UniRef:UniRef90_A0A127V224
contig_1	cds	381143	382237	-	PGH39_01800	potA	spermidine/putrescine ABC transporter ATP-binding protein PotA	COG:COG3842, COG:E, EC:7.6.2.11, GO:0005524, GO:0015417, GO:0043190, RefSeq:WP_027265774.1, SO:0001217, UniParc:UPI0001E3CAA0, UniRef:UniRef100_A0A4T1EGR2, UniRef:UniRef50_Q5ZWE4, UniRef:UniRef90_Q5ZWE4
contig_1	cds	382501	383385	-	PGH39_01805	yqjQ	oxidoreductase	COG:COG0300, COG:R, RefSeq:WP_038838034.1, SO:0001217, UniParc:UPI0001E3CAA1, UniRef:UniRef100_A0A4Q5NB52, UniRef:UniRef50_A0A378I782, UniRef:UniRef90_A0A378K6T5
contig_1	cds	383732	384205	-	PGH39_01810	cegC3	Dot/Icm T4SS effector CegC3	
contig_1	cds	384499	386808	+	PGH39_01815		hypothetical protein	RefSeq:WP_038838037.1, SO:0001217, UniParc:UPI0001E3CAA3, UniRef:UniRef100_A0A4T1EHC3, UniRef:UniRef50_Q5WXE7, UniRef:UniRef90_Q5WXE7
